country_txt,country_iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ecuador,ECU,"39,278","39,813","40,352","40,892","41,457","42,363","43,276","44,191","45,111","46,034","46,961","47,888","48,818","49,658","50,438","51,215","51,993","52,769","53,546","54,318","55,09","55,709","56,226","56,74","57,254","57,766","58,277","58,785","59,291","59,796","60,299","60,799","61,118","61,316","61,514","61,711","61,907","62,104","62,3","62,495","62,69","62,885","63,088","63,298","63,516","63,742"
"Egypt, Arab Rep.",EGY,"41,477","41,838","42,2","42,563","42,926","43,291","43,656","43,81","43,826","43,842","43,858","43,874","43,89","43,906","43,922","43,938","43,954","43,877","43,744","43,611","43,478","43,345","43,212","43,079","42,946","42,814","42,681","42,658","42,704","42,75","42,797","42,843","42,889","42,935","42,981","43,027","43,073","43,078","43,058","43,039","43,019",43,"43,002","43,025","43,069","43,135"
Euro area,EMU,"67,1473108283","67,5330798631","67,8678118897","68,1806982305","68,4819262099","68,7354418611","68,9573827106","69,1998173198","69,4442407908","69,6858981124","69,9248158765","70,1643649167","70,3271600742","70,4437227139","70,519715193","70,5801639459","70,6772056144","70,6938985437","71,0204011569","71,1358560015","71,291127993","71,4591260893","71,6145363222","71,7550689648","71,8787739108","71,993014749","72,1065513036","72,2167176031","72,3248677514","72,4459744042","72,591677128","72,7671833234","72,9836666933","73,2055353416","73,4229416908","73,6413232972","73,8736551348","74,1133363829","74,3504675914","74,5848099874","74,8173744305","75,0523940937","75,2796981971","75,4868306738","75,7027310552","75,9248043445"
Eritrea,ERI,"12,593","12,762","12,932","13,104","13,278","13,454","13,632","13,812","13,994","14,178","14,364","14,552","14,742","14,934","15,116","15,228","15,341","15,455","15,569","15,684","15,8","15,926","16,062","16,21","16,367","16,536","16,717","16,908","17,112","17,328","17,555","17,796","18,049","18,315","18,595","18,889","19,196","19,518","19,854","20,206","20,572","20,954",,,,
Spain,ESP,"66,038","66,848","67,541","68,224","68,901","69,57","70,231","70,883","71,527","72,162","72,789","73,279","73,515","73,749","73,982","74,213","74,444","74,673","74,9","75,126","75,351","75,528","75,61","75,692","75,774","75,856","75,938","76,019","76,1","76,181","76,262","76,343","76,533","76,778","77,022","77,263","77,502","77,74","77,976","78,21","78,442","78,673","78,902","79,129","79,355","79,579"
Estonia,EST,"64,947","65,483","66,017","66,545","67,069","67,589","68,106","68,617","69,124","69,497","69,711","69,924","70,136","70,347","70,558","70,767","70,975","71,183","71,39","71,415","71,231","71,046","70,86","70,674","70,487","70,3","70,111","69,923","69,733","69,543","69,368","69,242","69,116","68,989","68,862","68,735","68,607","68,479","68,351","68,223","68,094","67,965","67,835","67,721","67,622","67,538"
Ethiopia,ETH,"8,588","8,756","8,928","9,102","9,279","9,46","9,644","9,83","10,02","10,214","10,41","10,61","10,813","11,02","11,232","11,453","11,679","11,909","12,143","12,38","12,621","12,867","13,116","13,37","13,627","13,827","14,006","14,186","14,369","14,553","14,74","14,927","15,118","15,31","15,504","15,7","15,899","16,116","16,51","16,91","17,319","17,735","18,16","18,59","19,028","19,472"
European Union,EUU,"65,6768935347","66,0511280434","66,4294760437","66,79011354","67,1391623895","67,45005017","67,7358384939","68,0395543115","68,351398462","68,653343722","68,9390821179","69,187940659","69,3566867491","69,4972612555","69,6139259193","69,7211798399","69,8523687479","69,9318079517","70,2139931989","70,3482693501","70,4967044512","70,6689959215","70,8140996106","70,9134305169","71,0065296313","71,093702147","71,1862647217","71,2666178088","71,3505167127","71,4395617251","71,5594655073","71,7105875896","71,9300903984","72,1421869339","72,3518463812","72,564842592","72,7891997869","73,0273779186","73,264200382","73,4897977027","73,7148675386","73,9412842439","74,1558137242","74,3657164979","74,5787908725","74,7997227245"
Fragile and conflict affected situations,FCS,"23,2471236262","23,8269740181","24,3851981881","24,9190121482","25,3530251897","25,7796037058","26,2086261507","26,6336298138","27,0468076594","27,3905740374","27,7259662293","28,0664303235","28,4076503137","28,8010237153","29,2485394004","29,7045708977","30,1582964627","30,6126575231","31,0292492156","31,4300209293","32,1137054211","32,5273762038","32,9059306988","33,2423552834","33,4820396279","33,7351307147","33,9969485666","34,2897448411","34,5933788217","34,913159821","35,2363984619","35,5843452056","35,931278447","36,260961873","36,5939731603","36,9497721068","37,3152230738","37,6935763545","38,0788759542","38,4673619592","38,8559929184","39,2445763459","39,6336187747","40,0250082314","40,4226866317","40,8284413825"
Finland,FIN,"63,704","64,523","65,366","66,197","67,019","67,831","68,634","69,423","70,202","70,97","71,727","72,528","73,373","74,202","75,015","75,808","76,567","77,291",78,"78,691","79,367","79,843","80,128","80,409","80,688","80,963","81,223","81,466","81,707","81,946","82,183","82,368","82,503","82,638","82,772","82,905","83,037","83,168","83,299","83,429","83,558","83,688","83,819","83,952","84,086","84,221"
Fiji,FJI,"34,758","35,147","35,538","35,93","36,324","36,721","37,119","37,319","37,469","37,619","37,769","37,919","38,07","38,221","38,372","38,523","38,675","39,327","40,085","40,845","41,611","42,381","43,156","43,933","44,713","45,496","46,282","46,732","47,123","47,515","47,908","48,3","48,692","49,085","49,479","49,871","50,264","50,657","51,051","51,44","51,828","52,214","52,596","52,976","53,354","53,728"
France,FRA,"71,055","71,459","71,86","72,256","72,65","72,926","72,997","73,068","73,14","73,211","73,282","73,352","73,425","73,5","73,575","73,65","73,725","73,8","73,875","73,95","74,056","74,229","74,401","74,572","74,743","74,912","75,082","75,25","75,417","75,614","75,871","76,127","76,38","76,632","76,883","77,13","77,377","77,621","77,864","78,106","78,345","78,584","78,82","79,055","79,289","79,52"
Faroe Islands,FRO,"27,951","28,417","28,888","29,362","29,842","30,326","30,815","31,307","31,355","31,27","31,186","31,101","31,017","30,933","30,849","30,766","30,682","30,598","30,515","30,432","30,594","30,814","30,842","30,87","30,898","30,926","33,035","35,354","35,654","35,86","36,337","37,175","38,022","38,714","39,247","39,781","40,147","40,341","40,536","40,731","40,926","41,122","41,323","41,53","41,743","41,962"
"Micronesia, Fed. Sts.",FSM,"24,808","25,068","25,33","25,593","25,741","25,858","25,975","26,092","26,209","26,327","26,445","26,417","26,35","26,283","26,216","26,149","26,083","26,016","25,95","25,884","25,818","25,752","25,686","25,62","25,554","25,068","24,473","23,889","23,314","22,749","22,33","22,33","22,33","22,33","22,33","22,33","22,324","22,317","22,311","22,305","22,298","22,303","22,317","22,342","22,378","22,424"
Gabon,GAB,32,"34,082","36,231","38,43","40,681","42,971","45,295","47,633","49,985","52,337","54,682",57,"58,372","59,73","61,076","62,402","63,711",65,"66,412","67,792","69,143","70,462","71,749","72,999","74,214","75,358","76,431","77,437","78,379","79,26","80,082","80,85","81,565","82,23","82,847","83,421","83,952","84,443","84,896","85,313","85,697","86,047","86,367","86,658","86,92","87,156"
United Kingdom,GBR,"77,117","77,03","77,195","77,358","77,521","77,683","77,844","78,005","78,164","78,323","78,481","78,588","78,539","78,489","78,44","78,39","78,34","78,29","78,24","78,19","78,14","78,112","78,172","78,232","78,293","78,353","78,413","78,472","78,532","78,591","78,651","78,751","79,047","79,339","79,629","79,915","80,199","80,479","80,757","81,031","81,302","81,57","81,834","82,092","82,345","82,592"
Georgia,GEO,"48,006","48,474","48,942","49,409","49,876","50,344","50,812","51,279","51,747","52,156","52,497","52,836","53,176","53,516","53,855","54,194","54,532","54,87","55,208","55,277","55,038","54,799","54,559","54,32","54,08","53,841","53,6","53,36","53,12","52,879","52,638","52,398","52,293","52,352","52,411","52,47","52,525","52,575","52,625","52,723","52,869","53,016","53,162","53,309","53,468","53,641"
Ghana,GHA,"28,958","29,174","29,392","29,61","29,829","30,049","30,27","30,492","30,714","30,938","31,163","31,388","31,614","31,842","32,209","32,896","33,591","34,293","35,004","35,719","36,441","37,17","37,905","38,644","39,39","40,14","40,896","41,654","42,418","43,184","43,929","44,601","45,275","45,951","46,63","47,308","47,988","48,669","49,351","50,031","50,713","51,394","52,069","52,735","53,392","54,042"
Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,GIN,"15,977","16,641","17,327","18,033","18,763","19,515","20,291","21,087","21,907","22,75","23,617","24,503","25,414","26,072","26,346","26,621","26,898","27,178","27,459","27,741","28,026","28,312","28,601","28,89","29,182","29,475","29,77","30,067","30,374","30,69","31,017","31,355","31,702","32,06","32,428","32,807","33,196","33,596","34,005","34,426","34,856","35,297","35,748","36,209","36,68","37,161"
"Gambia, The",GMB,"19,496","20,63","21,814","22,941","23,675","24,426","25,193","25,974","26,772","27,585","28,414","29,256","30,113","31,008","32,007","33,019","34,049","35,094","36,155","37,226","38,312","39,41","40,52","41,586","42,472","43,362","44,258","45,155","46,057","46,961","47,868","48,775","49,683","50,592","51,479","52,342","53,182","53,997","54,789","55,555","56,297","57,014","57,706","58,373","59,015","59,632"
Guinea-Bissau,GNB,"15,132","15,293","15,455","15,618","15,783","15,95","16,118","16,287","16,457","16,743","17,605","18,499","19,43","20,395","21,397","22,431","23,502","24,608","25,75","26,923","28,131","29,371","30,335","31,091","31,857","32,633","33,42","34,215","35,019","35,832","36,654","37,482","38,318","39,162","40,013","40,867","41,729","42,596","43,468","44,342","45,221","46,081","46,924","47,747","48,55","49,332"
Equatorial Guinea,GNQ,"26,954","27,045","27,136","27,227","27,319","27,41","27,502","27,594","27,687","27,779","27,872","27,965","28,058","28,151","29,028","29,94","30,871","31,817","32,78","33,755","34,745","35,748","36,766","37,792","38,831","38,834","38,829","38,823","38,817","38,811","38,806","38,8","38,794","38,802","38,822","38,856","38,903","38,963","39,037","39,123","39,223","39,337","39,463","39,603","39,756","39,923"
Greece,GRC,"64,22","64,951","65,454","65,952","66,448","66,94","67,429","67,912","68,393","68,87","69,343","69,746","69,94","70,134","70,327","70,518","70,709","70,9","71,09","71,279","71,467","71,635","71,757","71,878","71,998","72,119","72,239","72,358","72,478","72,597","72,716","72,913","73,303","73,689","74,073","74,452","74,827","75,199","75,568","75,932","76,292","76,649",77,"77,343","77,678","78,007"
Grenada,GRD,"32,212","32,282","32,353","32,424","32,495","32,565","32,636","32,707","32,778","32,85","32,921","32,988","33,037","33,086","33,135","33,183","33,232","33,281","33,33","33,379","33,428","33,506","33,765","34,025","34,286","34,548","34,811","35,074","35,339","35,604","35,871","36,105","36,058","36,011","35,963","35,916","35,869","35,822","35,775","35,728","35,681","35,634","35,601","35,583","35,58","35,591"
Greenland,GRL,"72,744","73,433","73,675","73,914","74,152","74,389","74,625","74,966","75,355","75,74","76,121","76,497","76,869","77,237","77,602","77,961","78,317","78,668","79,016","79,359","79,698","80,033","80,301","80,503","80,703","80,902","81,1","81,226","81,351","81,476","81,6","81,849","82,095","82,338","82,58","82,858","83,172","83,482","83,787","84,087","84,383","84,755","85,2","85,633","86,045","86,436"
Guatemala,GTM,"35,545","35,861","36,177","36,446","36,582","36,718","36,854","36,99","37,127","37,263","37,401","37,605","37,99","38,376","38,764","39,152","39,543","39,934","40,328","40,721","41,117","41,513","41,912","42,31","42,71","43,11","43,512","43,914","44,318","44,722","45,127","45,532","45,937","46,344","46,756","47,172","47,593","48,019","48,449","48,884","49,323","49,765","50,212","50,661","51,115","51,571"
Guam,GUM,"61,92","67,153","71,999","76,371","80,252","83,632","86,534","88,983","91,036","92,737","93,753","93,491","93,219","92,937","92,643","92,339","92,023","91,695","91,354","91,002","90,796","91,061","91,32","91,571","91,816","92,055","92,287","92,513","92,733","92,946","93,129","93,233","93,334","93,435","93,534","93,631","93,727","93,822","93,916","94,008","94,099","94,187","94,273","94,356","94,437","94,516"
Guyana,GUY,"29,425","29,533","29,641","29,75","29,858","29,967","30,076","30,186","30,295","30,405","30,488","30,396","30,305","30,215","30,124","30,033","29,943","29,853","29,763","29,673","29,583","29,493","29,404","29,315","29,226","29,137","29,048","28,959","28,871","28,782","28,694","28,606","28,518","28,431","28,358","28,301","28,258","28,231","28,218","28,221","28,239","28,271","28,319","28,382","28,459","28,553"
High income,HIC,"68,9254463949","69,3252668365","69,6931984988","70,0484787638","70,4062616375","70,7409094048","71,0020893298","71,2551581308","71,5093251727","71,7613685441","72,0142818842","72,3002874621","72,5517116192","72,7817892633","72,9983403816","73,2097764772","73,451685449","73,6710351936","73,9798045718","74,206831647","74,4484227183","74,7190269738","74,9280684526","75,1714638541","75,4113398883","75,6816036336","75,9076050177","76,1172610579","76,3288891794","76,5407984389","76,7569148244","77,0859701002","77,4675527011","77,8262378748","78,1727868666","78,5084954298","78,8162137342","79,109880407","79,3968922087","79,6724691437","79,9399035739","80,1969923346","80,4480953729","80,6685356342","80,8970926308","81,1168724329"
"Hong Kong SAR, China",HKG,"87,729","88,039","88,474","88,894","89,301","89,695","90,077","90,445","90,801","91,145","91,478","91,794","92,09","92,376","92,653","92,92","94,248","96,86","98,309","99,094","99,517","99,832","99,979",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Honduras,HND,"28,902","29,569","30,246","30,93","31,571","32,11","32,653","33,2","33,752","34,309","34,87","35,435","36,004","36,577","37,155","37,735","38,319","38,907","39,481","39,969","40,46","40,953","41,448","41,943","42,441","42,941","43,442","43,944","44,447","44,952","45,458","45,964","46,593","47,233","47,875","48,516","49,158","49,8","50,438","51,07","51,696","52,316","52,93","53,537","54,137","54,73"
Heavily indebted poor countries (HIPC),HPC,"16,2424227511","16,6835006092","17,1300102673","17,5823772698","18,0314767395","18,4966824343","18,9817694372","19,4691975273","19,9665563478","20,3839566888","20,7858896221","21,1773330797","21,5717963966","21,9966075923","22,4558058145","22,9474043683","23,4269380153","23,8932399947","24,3524021688","24,7989208236","25,2592736993","25,6840392323","26,0925240672","26,4748899869","26,7884085602","27,0868944312","27,3743332547","27,6713015901","27,9546376333","28,2416783869","28,5333114725","28,8552614439","29,187052519","29,5396496778","29,9014119375","30,2789935585","30,6639980764","31,0606433651","31,4870434101","31,9177843782","32,3530429163","32,7917706436","33,2346476577","33,6809906412","34,1313321138","34,5858728259"
Croatia,HRV,"40,196","41,242","42,206","43,173","44,147","45,126","46,109","47,093","48,081","49,07","50,061","50,888","51,239","51,59","51,941","52,291","52,641","52,991","53,341","53,69","54,039","54,335","54,475","54,614","54,753","54,892","55,031","55,17","55,309","55,448","55,587","55,725","55,876","56,04","56,217","56,406","56,608","56,822","57,048","57,287","57,537","57,8","58,074","58,359","58,656","58,964"
Haiti,HTI,"19,762","20,222","20,323","20,35","20,377","20,404","20,431","20,459","20,486","20,513","20,541","20,568","20,595","21,36","22,297","23,261","24,255","25,277","26,329","27,405","28,51","29,641","30,8","31,39","31,987","32,59","33,2","33,792","34,389","34,992","35,6","37,251","38,935","40,645","42,381","44,084","45,756","47,39","48,98","50,523","52,016","53,456","54,841","56,168","57,436","58,645"
Hungary,HUN,"60,112","60,539","60,965","61,388","61,81","62,231","62,65","63,066","63,48","63,893","64,191","64,372","64,553","64,734","64,915","65,095","65,274","65,453","65,632","65,81","65,838","65,713","65,587","65,461","65,335","65,209","65,083","64,956","64,829","64,702","64,575","64,67","65,081","65,489","65,896","66,354","66,863","67,368","67,87","68,366","68,859","69,348","69,832","70,306","70,771","71,227"
IBRD only,IBD,"29,6210568401","29,8380813822","30,0986874877","30,4023200905","30,7530094115","31,1155659845","31,4695681946","31,828746666","32,3017535511","32,883081662","33,4686450184","34,0691521478","34,6498054556","35,1805489589","35,725617783","36,270375106","36,8090142413","37,3386185234","37,8656692382","38,3770583256","38,8658768696","39,3671851177","39,870083347","40,377103328","40,8872464033","41,3999814647","41,9144457232","42,4362094384","42,9663516154","43,5013204574","44,041904031","44,6288408928","45,2709197386","45,9217392177","46,5792743626","47,239445714","47,8895309616","48,5333734622","49,1802363138","49,8273302953","50,4756048093","51,1243113357","51,7657209466","52,3959381475","53,0136991196","53,6177107956"
IDA & IBRD total,IBT,"27,238819511","27,4875376627","27,7711092826","28,0896932465","28,4458846582","28,7491778827","29,1066515491","29,4681410507","29,923110296","30,4591500504","31,0011416355","31,5520059067","32,0689058334","32,5483579092","33,0413840736","33,5365062194","34,0263286787","34,5087760806","34,9886551059","35,4536980289","35,9044744135","36,3513654569","36,7945310651","37,2373064287","37,675965371","38,1152826709","38,5558343254","39,004180304","39,4581818405","39,9161170256","40,3805204416","40,8932692019","41,4514627466","42,0171933654","42,589037315","43,1648951121","43,7342256971","44,3001096289","44,8717545892","45,4440107579","46,0162467748","46,5880748946","47,1547440642","47,7125926329","48,2610278125","48,7994166458"
IDA total,IDA,"17,1455676443","17,5431825925","17,9443859442","18,3536488562","18,769902383","18,877626446","19,3144242273","19,7604598206","20,2201077667","20,6522952375","21,1009232989","21,5305735185","21,8680891639","22,2221167003","22,5963561181","22,9873701704","23,3798092136","23,7734725964","24,1693919379","24,5617457216","24,9762579729","25,3368167375","25,6845512076","26,0211796382","26,3303180719","26,6354741393","26,9422258612","27,258064802","27,5737571317","27,8957647277","28,2366957328","28,6397128131","29,0643723016","29,4984248802","29,9425065198","30,399245159","30,8654474972","31,3431298962","31,8393823161","32,3422222389","32,8522879547","33,3659297525","33,8821553233","34,4009598994","34,9226722804","35,4473369683"
IDA blend,IDB,"22,0352994363","22,3955240577","22,7248871079","23,0614768597","23,4078146921","23,7564356765","24,1040326007","24,4451087984","24,7940095879","25,1330225975","25,4572256963","25,8501252484","26,231911495","26,6232208303","27,0203771817","27,4172035066","27,8140372514","28,2105329718","28,603862817","28,9994082745","29,4323403972","29,7667815987","30,1048597196","30,4325231796","30,7616778156","31,0899910572","31,4227315828","31,7654494038","32,1183787314","32,4829572104","32,8799208951","33,3685413174","33,8687565132","34,3634886402","34,8663500664","35,3798061536","35,9044765224","36,440886027","36,9884766238","37,5448177444","38,1094904662","38,6772242932","39,2502738988","39,8264548767","40,4043875825","40,9848274024"
Indonesia,IDN,"17,071","17,338","17,779","18,28","18,793","19,317","19,853","20,398","20,956","21,524","22,104","22,815","23,606","24,415","25,244","26,089","26,953","27,835","28,736","29,651","30,584","31,613","32,703","33,808","34,933","36,076","37,235","38,406","39,593","40,792","42,002","42,782","43,566","44,353","45,145","45,937","46,732","47,528","48,327","49,124","49,924","50,712","51,488","52,252","53,003","53,742"
IDA only,IDX,"14,1549164755","14,5767450311","15,0210161211","15,4713772005","15,9267112026","15,8822206237","16,3690355677","16,8749031849","17,3980796041","17,8832368181","18,4050693787","18,8571669602","19,166781735","19,498063607","19,8586502109","20,2462697017","20,6352802189","21,0265114951","21,4249121914","21,818604135","22,2298008762","22,6172639756","22,983355181","23,3387833905","23,6493619471","23,9535969102","24,256327411","24,5667509256","24,8708321247","25,1793963203","25,5000163086","25,8669311723","26,2629113481","26,6773318463","27,1021345754","27,5397866447","27,9847429769","28,439741485","28,9165613012","29,3983486116","29,8850906103","30,375797958","30,8697345139","31,3660195351","31,8655693716","32,3684083593"
Isle of Man,IMN,"55,831","55,556","54,77","53,983","53,194","52,403","51,799","51,795","51,791","51,788","51,784","51,78","51,776","51,773","51,769","51,765","51,761","51,757","51,754","51,75","51,746","51,745","51,754","51,764","51,773","51,783","51,792","51,8","51,808","51,815","51,823","51,833","51,851","51,869","51,887","51,905","51,922","51,94","51,958","51,976","51,994","52,012","52,042","52,084","52,138","52,203"
India,IND,"19,76","19,991","20,321","20,653","20,991","21,332","21,677","22,026","22,379","22,736","23,098","23,417","23,647","23,879","24,113","24,348","24,585","24,823","25,063","25,305","25,547","25,778","25,984","26,191","26,399","26,607","26,817","27,028","27,24","27,453","27,667","27,918","28,244","28,572","28,903","29,235","29,569","29,906","30,246","30,587","30,93","31,276","31,631","31,994","32,366","32,747"
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"51,722","52,269","52,611","52,952","53,294","53,634","53,975","54,315","54,655","54,994","55,333","55,634","55,794","55,955","56,115","56,275","56,426","56,546","56,666","56,786","56,906","57,046","57,265","57,484","57,702","57,92","58,144","58,395","58,645","58,896","59,146","59,395","59,649","59,925","60,202","60,477","60,752","61,025","61,298","61,569","61,84","62,111","62,386","62,667","62,952","63,241"
"Iran, Islamic Rep.",IRN,"41,212","42,11","43,014","43,92","44,832","45,747","46,666","47,47","48,21","48,951","49,693","50,434","51,175","51,916","52,657","53,395","54,133","54,717","55,257","55,794","56,33","56,865","57,653","58,519","59,38","60,236","61,087","61,853","62,588","63,318","64,042","64,758","65,468","66,172","66,869","67,558","68,239","68,864","69,458","70,045","70,626","71,2","71,769","72,32","72,855","73,375"
Iraq,IRQ,"56,154","57,214","58,269","59,313","60,351","61,379","62,398","63,404","64,178","64,852","65,521","66,183","66,839","67,488","68,132","68,767","69,396","70,017","70,072","69,889","69,706","69,522","69,337","69,152","68,966","68,78","68,593","68,405","68,388","68,442","68,496","68,55","68,604","68,658","68,712","68,766","68,819","68,873","68,927","68,98","69,034","69,098","69,175","69,262","69,361","69,471"
Iceland,ISL,"84,9","85,269","85,63","85,983","86,33","86,669","87,002","87,326","87,644","87,955","88,26","88,533","88,8","89,062","89,319","89,57","89,816","90,057","90,294","90,524","90,75","90,932","91,112","91,287","91,46","91,63","91,797","91,96","92,121","92,267","92,401","92,532","92,662","92,789","92,914","93,037","93,159","93,278","93,395","93,511","93,624","93,734","93,84","93,942","94,042","94,137"
Israel,ISR,"84,195","84,789","85,351","85,793","86,224","86,643","87,053","87,45","87,838","88,215","88,583","88,94","89,287","89,608","89,719","89,828","89,936","90,044","90,15","90,255","90,359","90,463","90,565","90,666","90,767","90,866","90,943","91,009","91,074","91,139","91,203","91,267","91,33","91,393","91,456","91,518","91,58","91,641","91,702","91,763","91,824","91,886","91,949","92,012","92,076","92,14"
Italy,ITA,"64,272","64,75","65,039","65,241","65,442","65,643","65,844","66,044","66,243","66,442","66,64","66,837","66,886","66,866","66,846","66,826","66,806","66,786","66,766","66,746","66,726","66,706","66,742","66,802","66,862","66,922","66,982","67,042","67,102","67,162","67,222","67,282","67,382","67,501","67,62","67,738","67,856","67,974","68,092","68,209","68,327","68,444","68,56","68,686","68,821","68,964"
Jamaica,JAM,"41,324","41,858","42,395","42,933","43,472","44,013","44,557","45,1","45,645","46,191","46,739","47,286","47,813","48,016","48,22","48,424","48,628","48,832","49,036","49,24","49,444","49,656","49,896","50,136","50,375","50,615","50,855","51,095","51,335","51,574","51,814","52,053","52,251","52,437","52,625","52,811","52,998","53,184","53,371","53,557","53,743","53,93","54,127","54,336","54,556","54,788"
Jordan,JOR,"55,971","56,308","56,645","56,98","57,315","57,65","57,984","58,316","58,649","58,98","60,029","61,464","62,882","64,278","65,652","66,996","68,315","69,606","70,868","72,095","73,291","74,455","75,586","76,68","77,74","78,365","78,66","78,951","79,239","79,525","79,808","80,087","80,364","80,638","80,909","81,177","81,442","81,704","81,964","82,22","82,473","82,724","82,97","83,211","83,447","83,679"
Japan,JPN,"71,877","72,666","73,452","74,22","74,975","75,716","75,944","76,002","76,06","76,118","76,175","76,273","76,383","76,493","76,603","76,712","76,835","76,962","77,088","77,213","77,339","77,473","77,61","77,746","77,881","78,016","78,145","78,272","78,398","78,523","78,649","79,99","81,647","83,196","84,64","85,978","87,057","88,013","88,909","89,743","90,522","91,248","91,902","92,491","93,021","93,498"
Kazakhstan,KAZ,"50,236","50,753","51,269","51,785","52,3","52,564","52,828","53,092","53,356","53,7","54,142","54,582","55,022","55,461","55,9","56,01","56,121","56,231","56,341","56,357","56,266","56,175","56,083","55,992","55,9","55,921","55,943","55,964","55,986","55,93","55,729","55,527","55,326","55,124","54,921","54,719","54,516","54,314","54,111","53,908","53,732","53,581","53,458","53,361","53,29","53,247"
Kenya,KEN,"10,295","10,778","11,282","11,805","12,349","12,914","13,503","14,112","14,745","15,401","15,583","15,681","15,78","15,879","15,979","16,079","16,18","16,281","16,383","16,485","16,748","17,043","17,342","17,645","17,952","18,263","18,579","18,898","19,222","19,55","19,892","20,239","20,591","20,948","21,31","21,675","22,045","22,42","22,8","23,183","23,571","23,967","24,37","24,78","25,197","25,622"
Kyrgyz Republic,KGZ,"37,466","37,609","37,753","37,897","38,042","38,186","38,331","38,476","38,621","38,677","38,627","38,577","38,527","38,477","38,427","38,377","38,327","38,277","38,227","38,065","37,777","37,49","37,203","36,918","36,633","36,349","36,066","35,785","35,504","35,3","35,298","35,296","35,295","35,293","35,292","35,29","35,289","35,287","35,285","35,284","35,303","35,342","35,403","35,483","35,585","35,707"
Cambodia,KHM,"15,97","18,717","21,818","25,263","29,055","4,477","4,82","5,186","5,578","5,999","9,898","12,742","13,031","13,325","13,626","13,931","14,242","14,559","14,883","15,211","15,546","15,887","16,234","16,587","16,946","17,311","17,683","18,06","18,355","18,47","18,586","18,703","18,82","18,937","19,055","19,174","19,293","19,413","19,533","19,666","19,81","19,967","20,137","20,319","20,514","20,723"
Kiribati,KIR,"24,088","25,348","26,654","27,997","28,96","29,606","30,262","30,925","31,596","32,036","32,284","32,532","32,782","33,032","33,284","33,541","33,828","34,116","34,405","34,695","34,987","35,272","35,555","35,839","36,123","36,409","37,386","38,752","40,138","41,54","42,958","43,473","43,492","43,512","43,532","43,551","43,571","43,603","43,647","43,704","43,773","43,855","43,948","44,055","44,173","44,304"
St. Kitts and Nevis,KNA,"34,141","34,317","34,495","34,672","34,849","35,027","35,206","35,385","35,564","35,744","35,882","35,754","35,626","35,498","35,37","35,243","35,116","34,989","34,862","34,735","34,609","34,474","34,283","34,093","33,904","33,715","33,526","33,339","33,151","32,965","32,778","32,593","32,427","32,281","32,155","32,048","31,961","31,893","31,845","31,816","31,806","31,815","31,844","31,892","31,96","32,047"
"Korea, Rep.",KOR,"40,704","42,261","43,692","45,131","46,579","48,033","49,719","51,476","53,233","54,981","56,72","58,407","60,061","61,693","63,301","64,876","66,679","68,563","70,389","72,148","73,844","74,972","75,82","76,645","77,452","78,239","78,662","78,905","79,145","79,384","79,621","79,94","80,299","80,652","81,002","81,345","81,528","81,631","81,733","81,835","81,936","82,037","82,141","82,249","82,36","82,474"
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"85,661","86,444","87,192","87,902","88,579","89,384","90,745","91,944",93,"93,928","94,781","95,67","96,414","97,034","97,551","97,903","97,917","97,932","97,946","97,96","97,974","97,988","98,002","98,016","98,029","98,043","98,057","98,071","98,085","98,099","98,113","98,128","98,142","98,157","98,172","98,187","98,202","98,217","98,232","98,248","98,263","98,279","98,294","98,31","98,326","98,342"
Latin America & Caribbean (excluding high income),LAC,"54,0915803203","54,9245911245","55,7498134332","56,5463534859","57,3322893287","58,1173820964","58,8960019462","59,6736297809","60,4471987061","61,2122227712","61,9667626361","62,6752995424","63,3537297149","64,0257358228","64,6930210984","65,3562600847","66,006527864","66,6462190592","67,2790362606","67,8997593969","68,5063162887","69,082746711","69,6421999658","70,1817481808","70,7161131498","71,2409027146","71,7397692337","72,2499364003","72,7555426266","73,2446318226","73,7316260813","74,1201345204","74,4821413402","74,8360002701","75,1873839091","75,5322423866","75,8720109171","76,2063155193","76,5357594161","76,8593133264","77,1789198206","77,4943978067","77,8024422956","78,1033788489","78,3977790923","78,6850456443"
Lao PDR,LAO,"9,625","9,955","10,295","10,597","10,837","11,081","11,331","11,584","11,843","12,107","12,377","12,65","12,93","13,214","13,504","13,804","14,118","14,439","14,766","15,098","15,437","15,782","16,133","16,49","16,854","17,378","18,234","19,12","20,039","20,991","21,977","22,993","24,044","25,126","26,242","27,386","28,537","29,688","30,839","31,985","33,123","34,252","35,368","36,469","37,551","38,614"
